1,000001,平安银行,100,6,106,"1,468.10",
2,000002,万科Ａ,3,-,3,93.3,
3,000028,国药一致,1,-,1,40.93,
4,000166,申万宏源,100,-,100,494,
5,000333,美的集团,1,-,1,52.8,
6,000338,潍柴动力,507.25,-,507.25,"6,335.55",
7,000402,金融街,1,-,1,7.98,
8,000423,东阿阿胶,3,-,3,96.39,
9,000568,泸州老窖,1,-,1,85.2,
10,000650,仁和药业,1,-,1,6.96,
11,000651,格力电器,1,-,1,54,
12,000709,河钢股份,1,-,1,2.76,
13,000725,京东方Ａ,"5,029.16",6,"5,034.16","20,234.86",
14,000728,国元证券,60,-,60,546.45,
15,000776,广发证券,3.85,-,2.85,39.1,
16,000783,长江证券,11.6,1.6,13.2,101.14,
17,000786,北新建材,8,-,-,-,
18,000811,冰轮环境,520,-,520,"3,738.80",
19,000858,五粮液,10.8,-,10.8,"1,333.26",
20,000860,顺鑫农业,3,-,3,136.53,
21,000876,新希望,31,-,31,572.6,
22,000915,山大华特,3,-,1,22.51,
23,000961,中南建设,1.2,-,1.2,10.61,
24,000973,佛塑科技,68,-,68,277.44,
25,000983,西山煤电,2,-,1,6.02,
26,002001,新和成,40,-,40,808.05,
27,002011,盾安环境,461.7,-,434.7,"2,208.28",
28,002024,苏宁易购,4,-,4,41.48,
29,002027,分众传媒,27,-,27,130.95,
30,002042,华孚时尚,3.6,-,2.6,19.47,
31,002050,三花智控,5,-,5,54.7,
32,002078,太阳纸业,1,-,1,6.97,
33,002091,江苏国泰,21.22,-,20.22,107.96,
34,002092,中泰化学,4.18,-,4.18,30.97,
35,002142,宁波银行,32.31,46,78.31,"1,859.84",
36,002176,江特电机,1,-,1,4.38,
37,002179,中航光电,148.9,-,148.9,"5,058.15",
38,002195,二三四五,-,1,1,3.71,
39,002221,东华能源,10,-,10,84.6,
40,002241,歌尔股份,14,-,13,131.95,
41,002267,陕天然气,61,-,61,472.14,
42,002275,桂林三金,1.13,-,1.13,15.31,
43,002302,西部建设,3.5,-,3.5,37.84,
44,002304,洋河股份,1,-,-,-,
45,002311,海大集团,2,-,2,55.98,
46,002400,省广集团,20,-,20,57.6,
47,002415,海康威视,17,-,16,456.8,
48,002424,贵州百灵,1.13,-,1.13,10.09,
49,002465,海格通信,2,-,2,18.04,
50,002500,山西证券,46.1,-,46.1,386.81,
51,002508,老板电器,1,-,1,25.72,
52,002603,以岭药业,5.55,-,5.55,61.69,
53,300003,乐普医疗,1,-,1,24.95,
54,300014,亿纬锂能,-,6.3,6.3,188.75,
55,300017,网宿科技,-,3,3,30.36,
56,300059,东方财富,-,2,2,28.38,
57,300146,汤臣倍健,4,-,4,72.96,
58,300170,汉得信息,-,5,5,59.55,
