s_info_windcode,startVol,startBalance,sell,repay,endVol,endBalance,change,change_balance,group,code
000001.SZ,95.0,1358.5,0.0,0.0,95.0,1371.8,0.0,13.299999999999955,沪深300,000001.SZ
000002.SZ,3.0,80.24,0.0,0.0,3.0,83.24,0.0,3.0,沪深300,000002.SZ
000021.SZ,1.7,20.88,0.0,0.0,1.7,21.45,0.0,0.5700000000000003,中证500,000021.SZ
000063.SZ,66.6,1986.68,6.0,0.0,72.6,2148.96,6.0,162.27999999999997,沪深300,000063.SZ
000066.SZ,4.3,54.31,0.0,0.0,4.3,54.22,0.0,-0.09000000000000341,中证500,000066.SZ
000166.SZ,101.0,493.89,0.0,0.0,101.0,497.93,0.0,4.0400000000000205,沪深300,000166.SZ
000333.SZ,1.67,90.7,0.0,0.0,1.67,90.93,0.0,0.23000000000000398,沪深300,000333.SZ
000338.SZ,408.05,4737.5,101.7,7.0,502.75,5884.92,94.69999999999999,1147.42,沪深300,000338.SZ
000402.SZ,5.0,37.35,0.0,0.0,5.0,38.25,0.0,0.8999999999999986,沪深300,000402.SZ
000403.SZ,2.0,64.04,0.0,0.0,2.0,63.7,0.0,-0.3400000000000034,其他股票,000403.SZ
000423.SZ,3.0,95.21,0.0,0.0,3.0,95.93,0.0,0.7200000000000131,沪深300,000423.SZ
000519.SZ,35.0,357.35,0.0,0.0,35.0,350.7,0.0,-6.650000000000034,中证500,000519.SZ
000536.SZ,30.0,92.1,0.0,30.0,0.0,0.0,-30.0,-92.1,中证500,000536.SZ
000538.SZ,1.0,75.57,0.0,0.0,1.0,76.06,0.0,0.4900000000000091,沪深300,000538.SZ
000625.SZ,5.0,40.65,0.0,5.0,0.0,0.0,-5.0,-40.65,沪深300,000625.SZ
000650.SZ,7.5,55.35,1.0,1.0,7.5,55.13,0.0,-0.21999999999999886,其他股票,000650.SZ
000651.SZ,3.0,174.9,1.0,0.0,4.0,240.9,1.0,66.0,沪深300,000651.SZ
000723.SZ,55.0,523.05,0.0,0.0,55.0,554.95,0.0,31.90000000000009,中证500,000723.SZ
000725.SZ,3531.96,13257.41,100.0,1.0,3630.96,13627.67,99.0,370.2600000000002,沪深300,000725.SZ
000728.SZ,15.0,129.3,0.0,0.0,15.0,131.55,0.0,2.25,沪深300,000728.SZ
000750.SZ,27.16,137.16,2.0,15.0,14.16,72.64,-13.0,-64.52,中证500,000750.SZ
000776.SZ,100.0,1367.0,1.0,0.0,101.0,1401.88,1.0,34.88000000000011,沪深300,000776.SZ
000783.SZ,15.2,107.62,0.0,0.0,15.2,108.68,0.0,1.0600000000000023,沪深300,000783.SZ
000786.SZ,4.0,76.6,0.0,1.0,3.0,56.82,-1.0,-19.779999999999994,沪深300,000786.SZ
000811.SZ,18.0,127.26,0.0,0.0,18.0,127.62,0.0,0.35999999999999943,其他股票,000811.SZ
000858.SZ,36.99,5234.09,0.0,0.0,36.99,5116.09,0.0,-118.0,沪深300,000858.SZ
000869.SZ,1.0,29.14,0.0,0.0,1.0,29.17,0.0,0.030000000000001137,中证500,000869.SZ
000876.SZ,66.68,1291.62,4.5,3.0,68.18,1326.13,1.5,34.51000000000022,沪深300,000876.SZ
000932.SZ,5.0,20.4,0.0,0.0,5.0,20.85,0.0,0.45000000000000284,中证500,000932.SZ
000963.SZ,10.4,299.1,0.0,0.0,10.4,297.54,0.0,-1.5600000000000023,沪深300,000963.SZ
000973.SZ,15.0,59.85,0.0,1.0,14.0,55.86,-1.0,-3.990000000000002,其他股票,000973.SZ
000975.SZ,1.6,26.72,0.0,0.0,1.6,27.04,0.0,0.3200000000000003,中证500,000975.SZ
000983.SZ,1.0,5.99,0.0,0.0,1.0,6.03,0.0,0.040000000000000036,中证500,000983.SZ
002001.SZ,1.0,24.02,0.0,0.0,1.0,23.4,0.0,-0.620000000000001,沪深300,002001.SZ
002011.SZ,188.2,942.88,0.0,0.0,188.2,950.41,0.0,7.529999999999973,其他股票,002011.SZ
002027.SZ,18.0,101.24,0.0,2.0,16.0,89.44,-2.0,-11.799999999999997,沪深300,002027.SZ
002038.SZ,8.9,119.79,0.0,0.0,8.9,120.15,0.0,0.35999999999999943,中证500,002038.SZ
002042.SZ,18.2,141.05,0.0,0.0,18.2,141.78,0.0,0.7299999999999898,其他股票,002042.SZ
002044.SZ,0.0,0.0,2.0,0.0,2.0,23.86,2.0,23.86,沪深300,002044.SZ
002049.SZ,19.0,1061.72,0.0,0.0,19.0,1133.54,0.0,71.81999999999994,中证500,002049.SZ
002050.SZ,46.0,555.68,0.0,0.0,46.0,552.0,0.0,-3.67999999999995,沪深300,002050.SZ
002078.SZ,3.2,24.54,0.0,0.0,3.2,24.64,0.0,0.10000000000000142,中证500,002078.SZ
002091.SZ,13.1,74.69,0.0,0.0,13.1,75.74,0.0,1.0499999999999972,其他股票,002091.SZ
002092.SZ,3.3,22.94,0.0,0.0,3.3,23.63,0.0,0.6899999999999977,中证500,002092.SZ
002110.SZ,3.7,29.67,0.0,0.0,3.7,31.15,0.0,1.4799999999999969,中证500,002110.SZ
002142.SZ,20.0,468.0,0.0,0.0,20.0,470.0,0.0,2.0,沪深300,002142.SZ
002157.SZ,5.0,95.65,0.0,5.0,0.0,0.0,-5.0,-95.65,中证500,002157.SZ
002161.SZ,52.0,392.08,0.0,15.0,37.0,278.61,-15.0,-113.46999999999997,其他股票,002161.SZ
002176.SZ,6.0,25.2,0.0,0.0,6.0,25.44,0.0,0.240000000000002,中证500,002176.SZ
002179.SZ,312.35,13906.21,5.0,0.0,317.35,13795.59,5.0,-110.61999999999898,沪深300,002179.SZ
002221.SZ,4.6,36.52,0.0,0.0,4.6,37.08,0.0,0.5599999999999952,中证500,002221.SZ
002230.SZ,11.0,373.23,0.0,0.0,11.0,377.85,0.0,4.6200000000000045,沪深300,002230.SZ
002241.SZ,12.2,182.27,1.8,0.0,14.0,210.7,1.8000000000000007,28.42999999999998,沪深300,002241.SZ
002250.SZ,11.3,151.53,0.0,0.0,11.3,153.45,0.0,1.9199999999999875,中证500,002250.SZ
002252.SZ,95.0,798.0,12.0,0.0,107.0,898.8,12.0,100.79999999999995,沪深300,002252.SZ
002302.SZ,11.0,123.09,46.5,5.0,52.5,631.58,41.5,508.49,中证500,002302.SZ
002303.SZ,42.0,220.08,0.0,0.0,42.0,215.88,0.0,-4.200000000000017,其他股票,002303.SZ
002304.SZ,1.0,108.42,0.0,0.0,1.0,107.35,0.0,-1.0700000000000074,沪深300,002304.SZ
002317.SZ,5.0,54.3,0.0,5.0,0.0,0.0,-5.0,-54.3,中证500,002317.SZ
002385.SZ,7.6,42.86,0.0,0.0,7.6,42.64,0.0,-0.21999999999999886,中证500,002385.SZ
002400.SZ,12.4,37.57,0.0,0.0,12.4,37.57,0.0,0.0,其他股票,002400.SZ
002407.SZ,5.0,67.5,0.0,0.0,5.0,67.25,0.0,-0.25,中证500,002407.SZ
002411.SZ,4.0,66.2,4.0,0.0,8.0,132.8,4.0,66.60000000000001,沪深300,002411.SZ
002415.SZ,18.86,627.85,1.2,1.0,19.06,630.31,0.1999999999999993,2.4599999999999227,沪深300,002415.SZ
002422.SZ,1.0,28.46,0.0,0.0,1.0,28.28,0.0,-0.17999999999999972,沪深300,002422.SZ
002456.SZ,18.0,173.16,0.0,0.0,18.0,174.24,0.0,1.0800000000000125,沪深300,002456.SZ
002460.SZ,3.0,63.72,0.0,1.0,2.0,43.8,-1.0,-19.92,沪深300,002460.SZ
002475.SZ,2.0,51.2,0.0,0.0,2.0,50.2,0.0,-1.0,沪深300,002475.SZ
002500.SZ,22.1,173.04,0.0,6.0,16.1,127.35,-6.0,-45.69,中证500,002500.SZ
002507.SZ,5.0,109.95,0.0,3.0,2.0,44.1,-3.0,-65.85,中证500,002507.SZ
002508.SZ,5.6,145.77,0.0,0.0,5.6,150.25,0.0,4.47999999999999,沪深300,002508.SZ
002603.SZ,2.2,24.6,0.0,0.0,2.2,24.44,0.0,-0.16000000000000014,中证500,002603.SZ
002640.SZ,7.62,60.66,0.0,0.0,7.62,61.04,0.0,0.38000000000000256,中证500,002640.SZ
002670.SZ,1.8,21.22,0.0,0.0,1.8,22.45,0.0,1.2300000000000004,中证500,002670.SZ
002714.SZ,15.0,1215.0,3.0,4.0,14.0,1122.24,-1.0,-92.75999999999999,沪深300,002714.SZ
002727.SZ,2.08,52.81,0.0,0.0,2.08,52.4,0.0,-0.4100000000000037,其他股票,002727.SZ
002736.SZ,71.9,939.01,0.0,0.0,71.9,947.64,0.0,8.629999999999995,沪深300,002736.SZ
002737.SZ,8.44,126.01,0.0,3.0,5.44,81.27,-2.999999999999999,-44.74000000000001,其他股票,002737.SZ
002839.SZ,0.0,0.0,4.0,0.0,4.0,22.08,4.0,22.08,中证500,002839.SZ
002939.SZ,3.0,47.13,0.0,0.0,3.0,48.12,0.0,0.9899999999999949,沪深300,002939.SZ
300003.SZ,2.0,54.66,0.0,0.0,2.0,53.58,0.0,-1.0799999999999983,沪深300,300003.SZ
300014.SZ,22.0,917.18,5.0,0.0,27.0,1136.97,5.0,219.79000000000008,其他股票,300014.SZ
300015.SZ,6.43,218.81,0.0,0.0,6.43,218.3,0.0,-0.5099999999999909,沪深300,300015.SZ
300017.SZ,87.0,905.67,0.0,0.0,87.0,904.8,0.0,-0.8700000000000045,沪深300,300017.SZ
300033.SZ,46.5,4673.25,2.3,0.0,48.8,5220.14,2.299999999999997,546.8900000000003,沪深300,300033.SZ
300059.SZ,211.0,3160.78,10.0,49.0,172.0,2666.0,-39.0,-494.7800000000002,沪深300,300059.SZ
300068.SZ,54.0,606.42,0.0,0.0,54.0,614.52,0.0,8.100000000000023,其他股票,300068.SZ
300072.SZ,10.0,64.3,0.0,0.0,10.0,67.4,0.0,3.1000000000000085,沪深300,300072.SZ
300078.SZ,17.0,205.02,0.0,0.0,17.0,202.98,0.0,-2.0400000000000205,其他股票,300078.SZ
300088.SZ,449.84,3373.8,0.0,0.0,449.84,3360.3,0.0,-13.5,中证500,300088.SZ
300098.SZ,0.0,0.0,11.0,0.0,11.0,80.74,11.0,80.74,其他股票,300098.SZ
300113.SZ,25.0,452.75,0.0,0.0,25.0,451.5,0.0,-1.25,中证500,300113.SZ
300115.SZ,82.38,1094.01,0.0,0.0,82.38,1111.31,0.0,17.299999999999955,中证500,300115.SZ
300136.SZ,168.59,5845.02,12.0,0.0,180.59,6380.24,12.0,535.2199999999993,沪深300,300136.SZ
300142.SZ,2.0,55.08,0.0,0.0,2.0,54.64,0.0,-0.4399999999999977,沪深300,300142.SZ
300146.SZ,3.5,71.93,0.0,0.0,3.5,71.93,0.0,0.0,其他股票,300146.SZ
300168.SZ,191.5,2476.1,0.0,0.0,191.5,2437.8,0.0,-38.29999999999973,中证500,300168.SZ
300170.SZ,15.0,204.3,0.0,0.0,15.0,205.5,0.0,1.1999999999999886,其他股票,300170.SZ
300251.SZ,23.0,203.32,0.0,0.0,23.0,204.7,0.0,1.3799999999999955,沪深300,300251.SZ
300253.SZ,23.0,356.5,0.0,0.0,23.0,355.81,0.0,-0.6899999999999977,中证500,300253.SZ
300274.SZ,757.2,9586.15,5.0,436.5,325.7,4107.08,-431.50000000000006,-5479.07,中证500,300274.SZ
300308.SZ,9.0,373.95,1.0,0.0,10.0,415.0,1.0,41.05000000000001,中证500,300308.SZ
300315.SZ,10.0,35.9,0.0,0.0,10.0,36.2,0.0,0.30000000000000426,中证500,300315.SZ
300316.SZ,17.0,238.17,0.0,0.0,17.0,242.08,0.0,3.910000000000025,中证500,300316.SZ
300355.SZ,1.0,3.53,0.0,1.0,0.0,0.0,-1.0,-3.53,其他股票,300355.SZ
300377.SZ,83.0,937.07,0.0,0.0,83.0,944.54,0.0,7.469999999999914,其他股票,300377.SZ
300408.SZ,1.0,20.27,0.0,0.0,1.0,20.15,0.0,-0.120000000000001,沪深300,300408.SZ
300418.SZ,2.0,25.58,0.0,0.0,2.0,25.76,0.0,0.18000000000000327,中证500,300418.SZ
300433.SZ,148.0,1394.16,6.0,0.0,154.0,1444.52,6.0,50.3599999999999,沪深300,300433.SZ
300496.SZ,9.0,328.95,0.0,0.0,9.0,342.0,0.0,13.050000000000011,其他股票,300496.SZ
300498.SZ,46.52,1921.28,0.0,3.52,43.0,1795.25,-3.520000000000003,-126.02999999999997,沪深300,300498.SZ
300618.SZ,22.0,1363.56,0.0,0.0,22.0,1333.42,0.0,-30.139999999999873,其他股票,300618.SZ
300666.SZ,9.0,375.03,0.0,0.0,9.0,389.88,0.0,14.850000000000023,其他股票,300666.SZ
300676.SZ,2.0,140.4,0.0,0.0,2.0,141.7,0.0,1.299999999999983,其他股票,300676.SZ
300750.SZ,2.0,142.4,0.0,0.0,2.0,142.36,0.0,-0.03999999999999204,其他股票,300750.SZ
600000.SH,265.0,3007.75,150.0,0.0,415.0,4768.35,150.0,1760.6000000000004,沪深300,600000.SH
600004.SH,31.1,606.62,0.0,0.0,31.1,624.04,0.0,17.41999999999996,沪深300,600004.SH
600011.SH,5.0,31.6,0.0,0.0,5.0,31.85,0.0,0.25,沪深300,600011.SH
600015.SH,30.0,222.78,10.0,0.0,40.0,299.88,10.0,77.1,沪深300,600015.SH
600016.SH,70.0,419.9,0.0,0.0,70.0,427.6,0.0,7.7000000000000455,沪深300,600016.SH
600017.SH,8.78,26.25,0.0,0.0,8.78,26.52,0.0,0.2699999999999996,中证500,600017.SH
600022.SH,810.0,1223.1,0.0,0.0,810.0,1239.3,0.0,16.200000000000045,中证500,600022.SH
600029.SH,40.2,268.38,0.0,0.0,40.2,273.21,0.0,4.829999999999984,沪深300,600029.SH
600030.SH,78.91,1802.3,62.7,11.5,130.11,3035.47,51.20000000000002,1233.1699999999998,沪深300,600030.SH
600036.SH,171.08,5853.44,0.0,0.0,171.08,5980.04,0.0,126.60000000000036,沪深300,600036.SH
600048.SH,0.0,0.0,1.69,0.0,1.69,23.44,1.69,23.44,沪深300,600048.SH
600062.SH,3.2,43.3,0.0,0.0,3.2,43.33,0.0,0.030000000000001137,中证500,600062.SH
600089.SH,3.6,23.94,0.0,0.0,3.6,24.23,0.0,0.28999999999999915,沪深300,600089.SH
600094.SH,76.0,561.64,0.0,0.0,76.0,566.96,0.0,5.32000000000005,中证500,600094.SH
600111.SH,20.0,233.0,0.0,0.0,20.0,233.6,0.0,0.5999999999999943,沪深300,600111.SH
600116.SH,6.1,43.86,0.0,0.0,6.1,44.16,0.0,0.29999999999999716,其他股票,600116.SH
