,date,mainBoard,kechuang,0,1,2
0,,,,20190722,168969.68,251895.74
0,,,,20190723,170780.07,245274.73
0,,,,20190724,172860.03,269055.42
0,,,,20190725,179040.5,290967.28
0,,,,20190726,179817.01,285571.29
0,,,,20190729,183211.56,312519.27
0,,,,20190730,170628.02,333510.16
0,,,,20190731,165604.98,346596.97
0,,,,20190801,158666.72,369417.54
0,,,,20190802,155319.61,409962.45
0,,,,20190805,148730.53,453102.8
0,,,,20190806,145072.17,441714.81
0,,,,20190807,144438.37,464848.22
0,,,,20190808,148051.32,487911.23
0,,,,20190809,156436.17,477843.55
0,,,,20190812,156479.67,478827.32
0,,,,20190813,155493.46,486640.79
0,,,,20190814,154937.55,498851.47
0,,,,20190815,160315.89,501696.33
0,,,,20190816,162042.84,496933.98
0,,,,20190819,172805.92,425014.46
0,,,,20190820,173134.63,457353.26
0,,,,20190821,175083.48,433315.78
0,,,,20190822,194941.06,425301.65
0,,,,20190823,184542.88,410075.85
0,,,,20190826,195403.05,411456.75
0,,,,20190827,200294.56,415699.67
0,,,,20190828,209303.47,410230.98
0,,,,20190829,214025.02,408954.98
0,,,,20190830,227228.47,411311.23
0,,,,20190902,237720.92,414935.83
0,,,,20190903,251520.78,441333.86
0,,,,20190904,289735.07,428669.6
